number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_gravity,params_learning_rate,params_max_grad_norm,params_n_steps,params_net_arch,params_pole_length,params_vf_coef,state
0,104.9,2025-10-03 19:32:25.090506,2025-10-03 19:33:31.372785,0 days 00:01:06.282279,<class 'torch.nn.modules.activation.Tanh'>,256,0.21200885169597775,0.057348233003790376,0.9368045662925361,0.9905960077258767,10.676677398714059,1.5246146982949e-05,0.7,256,"[400, 300]",0.7941089172149915,0.11919976973831227,COMPLETE
1,500.0,2025-10-03 19:33:31.372785,2025-10-03 19:34:51.934448,0 days 00:01:20.561663,<class 'torch.nn.modules.activation.ReLU'>,128,0.10186236832376327,0.03489221966159415,0.8146629353090273,0.9767261540268926,11.716787963247747,0.0015147747436293124,0.3,256,"[256, 256]",0.6834002515809259,0.636233988794848,COMPLETE
2,435.8,2025-10-03 19:34:51.934448,2025-10-03 19:36:01.347985,0 days 00:01:09.413537,<class 'torch.nn.modules.activation.Tanh'>,256,0.31033278090408545,0.026405638604457677,0.9897430167816357,0.9825270382338946,10.490142646494174,8.13276815588863e-05,1.0,512,"[256, 128]",0.33906858889997443,0.5625181317647584,COMPLETE
3,500.0,2025-10-03 19:36:01.347985,2025-10-03 19:37:12.620880,0 days 00:01:11.272895,<class 'torch.nn.modules.activation.Tanh'>,256,0.23792246759865202,0.08561259603267446,0.8997593526817133,0.9834894497966699,8.557387586955695,0.0009436170214419326,0.3,1024,"[400, 300]",0.37163417925872494,0.6349338041336741,COMPLETE
4,180.3,2025-10-03 19:37:12.620880,2025-10-03 19:38:30.205037,0 days 00:01:17.584157,<class 'torch.nn.modules.activation.ReLU'>,256,0.3305993825721286,0.02273695073100428,0.9907359476731074,0.9707425874432771,9.954611275464162,0.0003468885843869705,0.5,128,"[256, 128]",0.5966669484972269,0.20394850211504467,COMPLETE
5,500.0,2025-10-03 19:38:30.205037,2025-10-03 19:40:33.017639,0 days 00:02:02.812602,<class 'torch.nn.modules.activation.Tanh'>,32,0.28184952968085597,0.06693627981826784,0.9253712877174669,0.9586508561671383,9.7045537964326,0.0005669562356578877,1.0,1024,"[64, 64]",0.3272681034136468,0.800704627538784,COMPLETE
6,500.0,2025-10-03 19:40:33.018683,2025-10-03 19:42:08.723777,0 days 00:01:35.705094,<class 'torch.nn.modules.activation.ReLU'>,64,0.13202602420140758,0.02222282525598292,0.8534751353369033,0.9975354357467473,11.18550172526908,0.0019702807748932095,1.0,512,"[128, 128]",0.3983889838271367,0.4022852218400246,COMPLETE
7,500.0,2025-10-03 19:42:08.723777,2025-10-03 19:44:16.076411,0 days 00:02:07.352634,<class 'torch.nn.modules.activation.ReLU'>,32,0.10574728692617741,0.08342477690986881,0.9515689835637045,0.9609116013589093,9.341219539203601,0.0002394088496489149,0.5,128,"[256, 128]",0.49957632096840565,0.3976575681780461,COMPLETE
8,286.4,2025-10-03 19:44:16.076411,2025-10-03 19:46:13.570801,0 days 00:01:57.494390,<class 'torch.nn.modules.activation.ReLU'>,32,0.2437684800073727,0.03390232144649762,0.8086321516047021,0.9749760211006813,11.472731829175261,0.0018353227097935808,0.5,128,"[400, 300]",0.40707581783358654,0.3356639768123869,COMPLETE
9,283.1,2025-10-03 19:46:13.571347,2025-10-03 19:48:09.844673,0 days 00:01:56.273326,<class 'torch.nn.modules.activation.ReLU'>,32,0.17943723260958927,0.0760910492491072,0.815703263412563,0.9556020572313583,9.951800426121702,0.0003048981807265909,0.3,1024,"[256, 256]",0.6350836010279365,0.701504627971438,COMPLETE
10,362.4,2025-10-03 19:48:09.844673,2025-10-03 19:49:30.514895,0 days 00:01:20.670222,<class 'torch.nn.modules.activation.ReLU'>,128,0.39585194966366993,0.011221413573421067,0.8618154915062685,0.9692855362303232,11.985350695948569,6.88212614624428e-05,0.3,256,"[256, 256]",0.6932771812809663,0.9813218910238173,COMPLETE
11,500.0,2025-10-03 19:49:30.514895,2025-10-03 19:50:51.822597,0 days 00:01:21.307702,<class 'torch.nn.modules.activation.Tanh'>,128,0.16297384542835247,0.04322601467185712,0.8767679928435043,0.983604698062947,8.063469865478545,0.0009447203406334935,0.3,1024,"[256, 256]",0.7398233525731162,0.6479046946981547,COMPLETE
12,500.0,2025-10-03 19:50:51.822597,2025-10-03 19:52:04.258912,0 days 00:01:12.436315,<class 'torch.nn.modules.activation.Tanh'>,128,0.22500872658305376,0.015592217000043995,0.8969405836080071,0.9801292697786289,8.719129383736183,0.0029367773631006054,0.3,256,"[400, 300]",0.4887689156571828,0.827815633998193,COMPLETE
13,500.0,2025-10-03 19:52:04.258912,2025-10-03 19:53:34.048876,0 days 00:01:29.789964,<class 'torch.nn.modules.activation.Tanh'>,64,0.38021906447404274,0.09690593674438361,0.8343019614447588,0.9908552921915057,9.10830980591701,0.0009083098417721028,0.3,1024,"[64, 64]",0.5494302111518488,0.5451382621076036,COMPLETE
14,500.0,2025-10-03 19:53:34.048876,2025-10-03 19:54:42.242444,0 days 00:01:08.193568,<class 'torch.nn.modules.activation.ReLU'>,256,0.1689113506906108,0.04690911593294467,0.8889852968754662,0.9677694296503017,8.41964232467139,0.0009165759317996799,0.7,256,"[128, 128]",0.6641116367755736,0.5608474848752467,COMPLETE
15,472.0,2025-10-03 19:54:42.242444,2025-10-03 19:55:55.694670,0 days 00:01:13.452226,<class 'torch.nn.modules.activation.Tanh'>,128,0.10154035805839352,0.03505864199110476,0.919757005889084,0.9772441446029169,10.72534243554959,0.00012584069573316075,0.3,1024,"[400, 300]",0.45865561717652387,0.7959028443787278,COMPLETE
16,101.7,2025-10-03 19:55:55.694670,2025-10-03 19:56:58.832296,0 days 00:01:03.137626,<class 'torch.nn.modules.activation.Tanh'>,256,0.27524318655762536,0.0523813275397405,0.9597035386636883,0.9879163227345771,11.83431412502947,2.048130119922926e-05,0.3,256,"[256, 256]",0.5767845009440248,0.9971773425797107,COMPLETE
17,500.0,2025-10-03 19:56:58.833204,2025-10-03 19:58:19.151155,0 days 00:01:20.317951,<class 'torch.nn.modules.activation.ReLU'>,128,0.35498939132084695,0.016231556939435038,0.838617946548185,0.9986478605302874,9.06441901878998,0.0005569435832881429,0.3,512,"[256, 256]",0.7275553289656629,0.6993275056980058,COMPLETE
18,350.6,2025-10-03 19:58:19.151155,2025-10-03 19:59:49.216974,0 days 00:01:30.065819,<class 'torch.nn.modules.activation.Tanh'>,64,0.19694330163533458,0.04125041097301952,0.9098159769068926,0.9500995619520243,11.228205165686466,0.0015820300799496867,0.7,256,"[400, 300]",0.7925537820403283,0.4510717348136394,COMPLETE
19,500.0,2025-10-03 19:59:49.217976,2025-10-03 20:00:55.875920,0 days 00:01:06.657944,<class 'torch.nn.modules.activation.ReLU'>,256,0.13803817840208407,0.06399317213964725,0.8279556553472742,0.964256004926985,8.0487593945785,0.0005152619461410261,0.3,1024,"[128, 128]",0.421922751585933,0.6313651146964107,COMPLETE
