number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_conv_arch,params_ent_coef,params_fc_arch,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_vf_coef,state
0,-6.460000000000001,2025-10-03 21:59:08.853276,2025-10-03 21:59:59.995444,0 days 00:00:51.142168,<class 'torch.nn.modules.activation.ReLU'>,32,0.3855509033819082,"[(16, 3, 1), (32, 3, 1), (64, 3, 1)]",0.032996062305784384,"[256, 256]",0.8168797483921643,0.9802243183444964,0.0007750048344600455,0.3,128,0.6618268539349736,COMPLETE
1,-5.3100000000000005,2025-10-03 21:59:59.995444,2025-10-03 22:00:37.143430,0 days 00:00:37.147986,<class 'torch.nn.modules.activation.Tanh'>,64,0.3425433186957518,"[(64, 3, 1), (64, 3, 1), (128, 3, 1)]",0.030239923976277172,"[128, 128]",0.9788058609482141,0.9996363467345654,0.0011012104575666938,1.0,512,0.5720495010462656,COMPLETE
2,-0.525,2025-10-03 22:00:37.143430,2025-10-03 22:01:07.531566,0 days 00:00:30.388136,<class 'torch.nn.modules.activation.Tanh'>,128,0.19605475180551668,"[(16, 3, 1), (32, 3, 1), (64, 3, 1)]",0.04108711258108469,"[256, 256]",0.9937375150963306,0.9751735635612647,0.0001237067904599071,0.3,128,0.18574416042621789,COMPLETE
3,-0.625,2025-10-03 22:01:07.531566,2025-10-03 22:01:52.404677,0 days 00:00:44.873111,<class 'torch.nn.modules.activation.ReLU'>,32,0.3701078743366285,"[(32, 3, 1), (64, 3, 1)]",0.024986325922039684,"[128, 128]",0.8046728713394631,0.9670170957075719,4.213025055222672e-05,0.3,1024,0.899131527134495,COMPLETE
4,-1.605,2025-10-03 22:01:52.404677,2025-10-03 22:02:43.153638,0 days 00:00:50.748961,<class 'torch.nn.modules.activation.Tanh'>,32,0.20485100971199904,"[(64, 3, 1), (64, 3, 1), (128, 3, 1)]",0.019924894307929313,"[64, 64]",0.883335524781539,0.9576277731112647,0.0011344646531262549,0.3,128,0.7408103534511112,COMPLETE
5,-0.15,2025-10-03 22:02:43.153638,2025-10-03 22:03:12.855157,0 days 00:00:29.701519,<class 'torch.nn.modules.activation.ReLU'>,256,0.20820722272135395,"[(64, 3, 1), (64, 3, 1), (128, 3, 1)]",0.022606396082435615,"[64, 64]",0.9767588940364501,0.9659211495262742,0.0001408970818431174,0.7,256,0.5873829045297271,COMPLETE
6,-4.545,2025-10-03 22:03:12.855157,2025-10-03 22:04:02.264623,0 days 00:00:49.409466,<class 'torch.nn.modules.activation.ReLU'>,32,0.25159458590015177,"[(64, 3, 1), (64, 3, 1), (128, 3, 1)]",0.017002479368928954,"[256, 256]",0.8311898462421308,0.9565861456372923,0.0005823691151307448,0.7,1024,0.9183541735158101,COMPLETE
7,1.455,2025-10-03 22:04:02.264623,2025-10-03 22:04:36.451500,0 days 00:00:34.186877,<class 'torch.nn.modules.activation.Tanh'>,64,0.16219593907957192,"[(32, 3, 1), (64, 3, 1)]",0.053948923691955405,"[256, 256]",0.8199507551363926,0.9936864537320834,0.0003175590040877788,1.0,512,0.17311937598250624,COMPLETE
8,0.0,2025-10-03 22:04:36.457555,2025-10-03 22:05:10.436711,0 days 00:00:33.979156,<class 'torch.nn.modules.activation.ReLU'>,64,0.18842940017062765,"[(32, 3, 1), (64, 3, 1)]",0.03423760604249295,"[64, 64]",0.8066752588635229,0.9702358599535092,5.935641586734559e-05,0.5,1024,0.24316595384322587,COMPLETE
9,0.515,2025-10-03 22:05:10.436711,2025-10-03 22:05:40.757856,0 days 00:00:30.321145,<class 'torch.nn.modules.activation.ReLU'>,128,0.23271939109636272,"[(16, 3, 1), (32, 3, 1), (64, 3, 1)]",0.07773995290463369,"[64, 64]",0.9769811429796422,0.9586897901533215,0.00014249649575018877,0.7,128,0.12651240172323192,COMPLETE
10,-0.35,2025-10-03 22:05:40.757856,2025-10-03 22:06:14.891485,0 days 00:00:34.133629,<class 'torch.nn.modules.activation.Tanh'>,64,0.10574297710548566,"[(32, 3, 1), (64, 3, 1)]",0.010502046676411601,"[256, 256]",0.8692031016658787,0.9976825676667587,1.5310700497470015e-05,1.0,512,0.37958928722550656,COMPLETE
11,-3.1050000000000004,2025-10-03 22:06:14.891485,2025-10-03 22:06:46.139964,0 days 00:00:31.248479,<class 'torch.nn.modules.activation.Tanh'>,128,0.10826585217946777,"[(16, 3, 1), (32, 3, 1), (64, 3, 1)]",0.06881454499083962,"[64, 64]",0.9375848263480646,0.9871985833374617,0.00031614123694914664,0.7,512,0.10395916011954709,COMPLETE
12,-3.6950000000000003,2025-10-03 22:06:46.139964,2025-10-03 22:07:17.072820,0 days 00:00:30.932856,<class 'torch.nn.modules.activation.ReLU'>,128,0.261511955716246,"[(16, 3, 1), (32, 3, 1), (64, 3, 1)]",0.09961311743065325,"[256, 256]",0.9173329763815498,0.9878951555386308,0.000279087261635525,1.0,256,0.33922152656427706,COMPLETE
13,-8.709999999999999,2025-10-03 22:07:17.072820,2025-10-03 22:07:46.902108,0 days 00:00:29.829288,<class 'torch.nn.modules.activation.Tanh'>,256,0.1541404007451256,"[(32, 3, 1), (64, 3, 1)]",0.06042151195080378,"[64, 64]",0.9423809752561305,0.9511025567076438,0.002536339232779403,0.5,128,0.392064079698617,COMPLETE
14,0.05,2025-10-03 22:07:46.902108,2025-10-03 22:08:23.174157,0 days 00:00:36.272049,<class 'torch.nn.modules.activation.ReLU'>,64,0.29527053990818714,"[(16, 3, 1), (32, 3, 1), (64, 3, 1)]",0.05526343607570171,"[128, 128]",0.8585559551920503,0.9885625009738449,6.137413910140368e-05,0.7,512,0.12746620560541813,COMPLETE
15,-5.785,2025-10-03 22:08:23.174157,2025-10-03 22:08:55.885385,0 days 00:00:32.711228,<class 'torch.nn.modules.activation.Tanh'>,128,0.15241998533682052,"[(32, 3, 1), (64, 3, 1)]",0.09953784055973249,"[256, 256]",0.9090877002755389,0.9806358122327299,0.00029522135778423694,1.0,128,0.28537491203147797,COMPLETE
16,-0.925,2025-10-03 22:08:55.886384,2025-10-03 22:09:32.919636,0 days 00:00:37.033252,<class 'torch.nn.modules.activation.Tanh'>,64,0.2992974653716497,"[(32, 3, 1), (64, 3, 1)]",0.046061944849842676,"[64, 64]",0.8409814588133732,0.9595535380588244,1.837231392904359e-05,1.0,512,0.45309816124712055,COMPLETE
17,-0.2,2025-10-03 22:09:32.920657,2025-10-03 22:10:05.278815,0 days 00:00:32.358158,<class 'torch.nn.modules.activation.ReLU'>,128,0.16658090713014898,"[(16, 3, 1), (32, 3, 1), (64, 3, 1)]",0.07170611462885468,"[256, 256]",0.9445668184783489,0.9934514899065148,0.00010046424377174492,0.7,256,0.2007084840761614,COMPLETE
18,-0.05,2025-10-03 22:10:05.278815,2025-10-03 22:10:34.911294,0 days 00:00:29.632479,<class 'torch.nn.modules.activation.Tanh'>,256,0.2306416001919014,"[(16, 3, 1), (32, 3, 1), (64, 3, 1)]",0.07913516625278531,"[64, 64]",0.8876966787500044,0.9756717233200671,3.647199963324882e-05,0.5,512,0.4836801961777264,COMPLETE
19,0.7,2025-10-03 22:10:34.911294,2025-10-03 22:11:05.839723,0 days 00:00:30.928429,<class 'torch.nn.modules.activation.ReLU'>,128,0.2816536861280649,"[(32, 3, 1), (64, 3, 1)]",0.052600208099896475,"[128, 128]",0.9629001086854728,0.963176552068345,0.0002080322833859041,1.0,128,0.2956676378643726,COMPLETE
